compound,1-D9-ATQ-1,2-D9-ATQ-2,3-D9-ND-1,4-D9-ND-2,5-D9-200nM-1,6-D9-200nM-2,7-D9-500nM-1,8-D9-500nM-2,9-D9-2uM-1,10-D9-2uM-2,11-E9-ATQ-1,12-E9-ATQ2,13-E9-ND-1,14-E9-ND-2,15-E9-200nM-1,16-E9-200nM-2,17-E9-500nM-1,18-E9-500nM-2,19-E9-2uM-1,20-E9-2uM-2,21-FG0305-ATQ-1,22-FG0305-ATQ-2,23-FG0305-ND-1,24-FG0305-ND-2,25-FG0305-200nM-1,26-FG0305-200nM-2,27-FG0305-500nM-1,28-FG0305-500nM-2,29-FG0305-2uM-1,30-FG0305-2uM-2,QC-1,QC-2,QC-3,QC-4,QC-5,QC-6
heavy aspartate,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62,30913143.62
glycine,4728492.713,5442243.907,3953988.505,4303100.451,3782994.742,3992393.318,7058348.043,3613475.8,4022643.441,4587014.07,2759897.057,2528843.875,3378198.817,2645143.382,2947147.883,3239872.888,4467518.288,2787128.575,2927538.117,2893355.647,4024881.059,4890334.796,3880283.347,3992280.474,3890448.464,4408910.749,4628498.046,4239077.433,5307749.967,4383737.787,8537147.063,8585135.734,8314263.104,8832209.553,8220183.989,8302020.101
Serine,26689864.27,31490915.64,22689675.07,25551094.24,22989503.74,24327473.51,38410883.63,20692023.04,23084264.82,25915456.19,20969682.94,18856682.27,23478471.68,19811072.93,19779298.53,22782764.01,29341003.42,20152355.18,18944735.03,19432436.97,26425927.8,31631390.85,24653487.73,25681831.84,23678430.22,26865966.57,27807185.55,27443291.25,33065564.78,28581433.69,49026250.28,48446711.84,47074262.83,49577091.73,46605957.88,47042115.42
beta-glycerophosphate,35089535.03,34771049.52,34172252.71,33674743.35,25074453.57,24885220.14,33411314.32,32774841.35,30992569.75,34379757.68,22550695.18,21099688.11,25392515.61,26547028.26,20777074.95,23151754.56,31172176.37,21279595.26,21399752.29,21442612.78,114730848.5,137762632.8,97752453.45,107276539.7,91041120.79,103785629.7,107229328.9,105885919.6,101362181.2,95935123.3,80304214.77,77702955.7,75137043.52,81536705.17,75497245.44,76961927.68
succinate/methylmalonic acid,100818303.7,105557272.1,95104975.27,112008578.5,93192550.99,98411419.1,107369346.1,91751691.35,103713175.4,116633128.9,156815764.2,123267342,157475749.6,149186396.6,128562707.2,132088393.3,167802410.6,154747878.1,118922552.3,130283176.6,150600638,205158314.6,147974351.7,133814036.6,105500761.6,124366734.5,119502998.4,134850755,139702847.4,139037177.6,142973105.8,144874843.1,137307131,146922054.3,142346991.6,139557065
glutamate,254706996.6,250545549.3,170540599.9,183209630.3,146596500.9,141756180.5,191333116.5,161390816.9,189627726.2,195789189.2,219523928.3,188426338.7,181229180.3,172600882.4,147946636.4,156754084.5,204231082.9,163644477.8,159735766.8,163357255.7,212756930.1,268794436.4,179412271,185183764.1,156254673.6,192794623.9,189349362.4,185747957.2,201780828.1,180962140.3,221732226.3,229780240.1,217131222.8,235907218.4,216464685.5,222735095
UMP,2899744.661,3566559.853,6665210.565,9835859.429,3933851.743,3786852.624,5995699.375,5971890.011,4913378.359,6965070.173,10999371.35,8374045.44,20253620.16,25345743.79,16094955.84,14741099.65,22036175.99,20700057.01,15874157.32,19841311.56,14745269.98,17202273.12,18860106.27,20329770.06,15109696.63,15542910.19,15502307.47,19061606.13,16203700.53,15419759.64,23020032.19,21971375.01,21463851.78,23016331.85,21676810.16,21772002.07
Cystine,6239116.795,11336194.14,4488160.201,7531059.422,7790649.144,9353619.858,18490792.22,4336034.669,4913993.261,8215642.138,3308323.286,2232484.306,5750980.072,1755749.609,3708721.365,5022335.975,6896270.56,3440243.449,1995485.223,1751315.449,1541973.939,4097313.716,2149417.727,1497643.074,2755750.822,2531728.036,1709164.233,1601591.008,8502149.107,4539421.89,10368082.82,10633166.92,10375679.92,10774874.72,10370139.39,10338193.3
D-Sedoheptulose-1/7-Phosphate,20196028.2,18500396.43,18348356.31,17918227.77,14697094.11,13953121.94,16771644.8,16101162.43,15053572.12,13631381.75,15388242.81,15706535.17,16132064.39,17058318.3,15541005.41,16580021.11,21350064.45,16425335.88,15423466.81,15109948.38,16989407.1,18418907.82,14357468.92,17133319.71,15197402.31,18105647.35,18726956.41,17580653.83,15083668.17,13699308.61,19869138.65,19943153.55,19099928.68,19830392.39,18894744.32,19456648.4
GMP,2766393.644,3586991.703,2813234.622,4276670.709,1824762.584,1837173.528,2333080.593,2071241.69,1894348.153,2690823.918,10660351.13,8429992.207,8950207.098,10791514.92,6514715.99,5980436.385,9323901.799,9461692.817,6678858.794,8237307.649,6549316.174,8196830.515,5931088.937,6938093.636,5010109.299,5355882.871,5306253.506,6717221.837,5295992.302,5014805.212,8102680.902,8213796.79,7947665.306,8246038.62,7812527.941,8072678.116
4-aminobutyrate,30600560.3,29575472.73,19994286.85,20934578.72,16864424.89,16265619.9,22112308.35,18728012.12,21906112.74,22866269.01,25272628.13,21268976.26,20335775.47,19536306.73,16945917.29,17484240.64,22867343.83,18061644.22,18027793.82,18168643.71,25009659.77,31707974.74,20653284.44,21234919.68,17928715.32,22872131.9,22166957.26,21698213.02,22853853.55,20591801.24,25383212.65,26967041.13,25480191.28,27623946.74,25041281.99,25501130.96
O-phosphoethanolamine,18843393.58,18218226.69,17578068.45,18823442.98,13265331.5,12626243.46,18697083.59,15992093.94,15625216.13,16488517.93,14251032.79,14001676.92,15888658.01,16496888.87,14649847.21,14101285.75,20298443.63,14540790.14,12761140.91,13836565.59,11367770.03,12842629.44,10885152.78,13161785.37,10455785.77,12643886.7,13088694,12772647.6,10459692.76,10468887.57,21941740.22,22427036.28,21769637.54,22996978.68,21650006.96,22261820.3
glutamine,210280391.6,286039335.8,189759448.1,227774780.1,207508355.7,223001616.7,358126630.3,169667543.7,176591991.6,220329153.1,171649159.1,136742593.1,216296576.9,141174617.2,159847909.3,188342112.9,264096747.6,174969147.8,127754259.2,128082407.1,104321393.7,175854187.3,123529540.7,113033100.4,115625872,121431047.7,109692723.9,111950871,211379377.7,164018938,307994678.3,312383682.1,306234091.1,332231788.9,310149295.7,310087009.1
maleamate,3465357.3,4384725.875,2936225.396,3426641.649,3109556.384,3361991.83,5395515.171,2766181.881,3160074.27,3825562.575,2582049.685,2059822.122,3138341.951,2257559.489,2448051.05,2874247.196,3990056.054,2882908.499,2579760.396,2453753.697,3288734.387,4500530.006,3441796.461,3388189.665,3170328.386,3687492.358,3396088.287,3789904.009,4852131.036,4034128.732,6183754.279,6435857.128,5965475.947,6211706.337,5909938.997,6011628.314
D-gluconate,89424403.82,87811423.96,86329889.25,82064914.29,68087571.99,65822108.24,95563258.68,85049159.33,85117248.39,80362791.85,62004542.63,62507451.31,63429517,67859561.76,59275822.58,67154377.56,78604091.51,60491965.47,67738842.62,64320552.74,138826324.6,139473486.9,114518317.1,127196415.7,116686150.2,152059392.1,151959829.2,146887622.3,134359610.3,108595807.8,109774113.2,110589945.4,100433713.9,110555125.6,102209777.3,100517724.8
CMP,544993.8438,793168.5127,1152746.507,1876006.155,643575.3182,601532.6745,967710.743,907134.258,805620.3718,1230250.005,2719620.739,2219790.848,3813498.781,4964463.484,2797162.647,2405319.081,3744710.858,4273993.959,2914011.266,3819667.844,3074674.963,3920858.009,4060922.118,4523353.111,3110300.214,3239438.084,3270415.336,4159017.957,3455459.376,3056125.132,4667210.458,4660587.382,4584042.709,4598742.805,4420779.797,4451661.303
Cysteine,1148944.345,2199395.242,828632.3121,1342596.206,1480454.179,1787435.496,3455755.13,803637.623,869026.86,1504538.79,586342.5597,349087.2872,1029392.152,280884.873,654778.6945,974320.7954,1322871.113,615988.2608,335424.7978,272130.5778,294441.7069,800181.5646,387162.2304,264714.8843,575618.9118,465102.7369,342193.1959,306433.5644,1582540.775,817960.1206,1980518.005,1968860.772,1877570.863,1954060.515,1794437.992,1860588.925
hexose-phosphate,19094238.55,17456922.92,15698586.72,14261609.52,12543258.11,12083816.22,15608767.33,14569858.8,13708895.9,11716812.24,8475018.014,8902834.442,8812770.021,9112273.114,9063689.569,9741067.312,11557694.55,8927007.463,8799666.933,8066175.466,16888617.23,17186519.69,13848609.75,16080423.19,15112136.73,18567128.08,19839335.23,18061438.86,15771449.42,13261788.1,21172626.04,21197449.69,19557670.97,20639785.5,19498752.02,19539862.21
UDP-glucose,11933556.82,15451594.77,12840672.45,15211453.92,10943917.69,10672308.64,11807945.26,10895051.04,9818954.945,11366418.96,16154003.07,12031912.96,18505915.42,15981164.07,12549191.84,13351386.81,20672389.37,15464541.16,11216598.85,12300092.13,38230510.18,48339804.17,39054981.51,39540531.51,31962772.53,35798699.14,37952069.07,43678601.06,37591496.98,35710505.83,35018240.72,35624082.42,32435512.25,36141509.1,33243911.35,31897112.1
